Models,Variables,N
16,1,1
15,8,9
14,30,39
13,4,43
12,3,46
11,12,58
10,19,77
9,25,102
8,33,135
7,70,205
6,91,296
5,77,373
4,144,517
3,295,812
2,176,988
1,155,1143
0,264,1407
