1	Eyr	cLitter	str-h041
1	Lmon	cLitterAbove	str-041
1	Lmon	cLitterBelow	str-041
2	Emon	cLitterCwd	str-041
2	Emon	cLitterGrass	str-h046
1	Eyr	cLitterLut	str-b201
2	Emon	cLitterShrub	str-h044
2	Emon	cLitterSubSurf	str-041
2	Emon	cLitterSurf	str-041
2	Emon	cLitterTree	str-h064
1	CFsubhr	clivi	str-d09
2	E3hr	clivi	str-013
1	Amon	clivi	str-013
1	CFday	clivi	str-013
1	CF3hr	clivi	str-d11
1	Eday	clivic	str-013
1	E3hrPt	cllcalipso	str-943
1	CFday	cllcalipso	str-043
1	CFmon	cllcalipso	str-043
1	E3hrPt	clmcalipso	str-963
1	CFday	clmcalipso	str-063
1	CFmon	clmcalipso	str-063
1	Emon	clmisr	str-d41
1	E3hrPt	clmisr	str-d46
2	CF3hr	cls	str-018
1	CFmon	cls	str-d49
1	CFsubhr	clt	str-d09
1	day	clt	str-013
1	3hr	clt	str-013
1	Amon	clt	str-013
1	Eday	clt	str-041
1	CF3hr	clt	str-d11
1	AERmon	cltc	str-013
1	CF3hr	cltc	str-d11
1	E3hrPt	cltcalipso	str-d11
1	CFday	cltcalipso	str-013
1	CFmon	cltcalipso	str-013
1	CFday	cltisccp	str-013
1	CFmon	cltisccp	str-013
1	Emon	cltmodis	str-013
1	CFsubhr	clw	str-227
1	CFday	clw	str-d49
1	Amon	clw	str-d49
2	CF3hr	clwc	str-018
2	CFmon	clwc	str-d49
1	Emon	clwmodis	str-013
2	CF3hr	clws	str-018
2	CFmon	clws	str-d49
1	CFsubhr	clwvi	str-d09
2	E3hr	clwvi	str-013
1	CFday	clwvi	str-013
1	Amon	clwvi	str-013
1	CF3hr	clwvi	str-d11
1	Emon	clwvic	str-013
1	Eday	clwvic	str-013
1	AERmonZ	cly	str-261
1	Emon	cMisc	str-041
1	Eday	cnc	str-041
1	AERmon	co	str-d49
1	AERmon	co2	str-d49
1	E3hrPt	co2	str-018
1	Amon	co2	str-a023
2	Emon	co23D	str-d49
1	Amon	co2Clim	str-a063
1	Amon	co2mass	str-b193
1	Amon	co2massClim	str-a449
2	Emon	co2s	str-013
1	Oyr	co3	str-157
2	Omon	co3	str-157
2	Oyr	co3abio	str-157
2	Omon	co3abio	str-157
2	Omon	co3abioos	str-a098
2	Oyr	co3nat	str-157
2	Omon	co3nat	str-157
2	Omon	co3natos	str-a098
2	Omon	co3os	str-a098
1	Oyr	co3satarag	str-157
2	Omon	co3satarag	str-157
2	Omon	co3sataragos	str-a098
1	Oyr	co3satcalc	str-157
2	Omon	co3satcalc	str-157
2	Omon	co3satcalcos	str-a098
1	AERday	cod	str-013
1	AERmon	cod	str-013
2	Emon	columnmassflux	str-013
1	Emon	conccmcn	str-d49
1	Emon	conccn	str-d49
1	Emon	concdust	str-d49
1	Emon	concnmcn	str-d49
2	Emon	cOther	str-041
1	Eyr	cProduct	str-h041
1	Lmon	cProduct	str-041
1	Eyr	cProductLut	str-b201
1	Lmon	cRoot	str-041
1	Lmon	cropFrac	str-h038
