table,var,limit name,Max,Min,kind,status,basis
Omon,hfds,valid_max,1000,-3000,new,proposed,
Omon,mascello,valid_max,50000000,0,new,proposed,
Omon,mfo,valid_max,500000000000,-200000000000,new,proposed,
Omon,mlotst,valid_max,10000,0,new,proposed,
Omon,msftbarot,valid_max,2000000000000,-2000000000000,new,proposed,
Omon,msftmrho,valid_max,800000000000,-800000000000,new,proposed,
Omon,o2,valid_max,2,-0.0001,new,proposed,
Omon,ph,valid_max,9.5,5.7,new,proposed,
Omon,prsn,valid_max,0.0004,0,new,proposed,
Omon,tauuo,valid_max,2,-2,new,proposed,
Omon,tauvo,valid_max,2,-2,new,proposed,
Omon,thetao,valid_max,45,-8,new,proposed,
Omon,thkcello,valid_max,5000,0,new,proposed,"Large values may occur in isopycnal models.  E.g. this occurs sometimes at polar waters, where the ocean column is not stratified. And also occurs at some coast sea regions. See https://github.com/cp4cds/cmip6_range_check/issues/26 "
Omon,umo,valid_max,100000000000,-100000000000,new,proposed,
Omon,vmo,valid_max,100000000000,-100000000000,new,proposed,
Omon,uo,valid_max,6,-6,new,proposed,
Omon,vo,valid_max,6,-6,new,proposed,
Omon,volcello,valid_max,100000000000000,0,new,proposed,"Large values may occur in isopycnal models.  E.g. this occurs sometimes at polar waters, where the ocean column is not stratified. And also occurs at some coast sea regions. See https://github.com/cp4cds/cmip6_range_check/issues/26 "
Amon,uas,valid_max,80,-80,new,proposed,
Amon,vas,valid_max,80,-80,new,proposed,
Amon,sfcWind ,valid_max,80,0,new,proposed,
day,sfcWind ,valid_max,80,0,new,proposed,
Ofx,areacello,valid_max,1000000000000,0,new,proposed,
Ofx,areacello,mean_absolute_valid,1000000000000,10000000,new,proposed,
Ofx,deptho,valid_max,15000,-10,new,proposed,
Ofx,basin,valid_max,15,0,new,proposed,
SImon,sitemptop,valid_max,280,150,new,proposed,
SImon,simass,valid_max,100000,00,new,proposed,
SImon,sithick,mean_absolute_valid ..,5,0.01,new,proposed,
